"","genes","logFC","logCPM","F","PValue","FDR"
"18668","Gm8430",-0.19771696166639,2.02781333740103,0.841837501228787,0.366197674345076,0.391840997742851
"28126","Pcid2",0.0437902556865489,6.8002734670869,0.835216632956811,0.367899531807251,0.3936291364298
"20143","Ing1",0.0406963612828291,6.98608325490672,0.83081823144897,0.369147040125153,0.394930892205079
"18546","Gm7160",0.431025705338032,0.285046494986836,0.829472019240116,0.369530075219956,0.395307653566545
"7019","Edc4",0.0387039637003931,7.85415255869242,0.824708592950607,0.370980530358193,0.39682613743519
"8564","Ggnbp2",-0.0431632647090265,6.7292738406168,0.822554246459123,0.371507402996591,0.397356523168338
"8194","Foxo3",-0.0550664624736662,5.51011307886862,0.821380986852462,0.371844266791239,0.397683607806048
"23842","Metap1",-0.0407350455809125,7.05594711486908,0.818607668311205,0.372642285479497,0.398503797023965
"30542","Rwdd1",0.0490295753480146,6.04487214639966,0.816366005891858,0.373289124322843,0.39916219097737
"31949","Snrpd3",0.044737659449427,6.82274234901789,0.814465387697425,0.373838822032955,0.399716609563459
"18243","Gm5141",-0.112045166742532,3.65894103513023,0.812539520245316,0.374558584744622,0.400452757589954
"360","1700049G17Rik",0.170350623078073,2.37273548095866,0.81138708775747,0.374731609178087,0.40060429583615
"7144","Eif4a1",-0.0282683866578341,9.93868355313181,0.803789830812062,0.376948233966974,0.402934960938326
"31247","Slc10a7",-0.044662359467555,6.53995745637291,0.803699565360601,0.376974684267172,0.402934960938326
"29071","Prdm9",0.134463917585873,2.95663666323469,0.801662349996528,0.37757236073598,0.403540111779002
"5152","Chst14",0.111187915505702,3.27354244551834,0.799300785868417,0.378266913793209,0.404248692298618
"7948","Fcf1",-0.051962550183297,5.74129291088172,0.789713303653438,0.381105787149685,0.407248569177311
"20567","Kdm3a",-0.0434359634432094,6.79300605696652,0.78635575711698,0.382107288433376,0.408284698630623
"3106","Arhgap42",0.0829050802179364,4.42111580078243,0.785830337895517,0.382264359102424,0.408418449587529
"3908","Bop1",-0.0425271111874191,6.51341688269081,0.785537521785497,0.38235193540039,0.408463277543047
"15173","Gm38561",0.340063153979205,0.345891495688577,0.78547675338301,0.382370113854628,0.408463277543047
"25554","Mtg2",0.0913727308011318,3.90684479385381,0.7830338822714,0.38310192654429,0.409210891674978
"7206","Elp6",0.102269264901963,3.6033416946847,0.780349709186433,0.383908383907338,0.410038106258525
"29197","Proser3",0.138602872800069,2.70620320023322,0.779542105193032,0.384151512698644,0.410263562977993
"25491","Msantd4",0.0580677209900134,5.43806822832179,0.779002987870512,0.38431393886818,0.410402801034697
"28440","Pibf1",-0.0891520678634004,3.77565143530921,0.775696398495409,0.385312352166027,0.411434678909771
"3431","Atp6v1g1",0.0394922500649696,7.26787701331819,0.774363715222008,0.385715823711607,0.411831161729936
"35698","Zfp712",-0.194037678276805,1.72882857510593,0.773252544252755,0.386052704853983,0.412156485380628
