"","genes","logFC","logCPM","F","PValue","FDR"
"25879","Ncapd3",0.930577486681934,7.29356789142349,454.349267080001,6.08867868722415e-20,5.68261884766074e-19
"25831","Nap1l1",-0.730956040475262,8.70350887915913,454.180909473832,6.12123918325039e-20,5.70884688576265e-19
"28155","Pcsk7",-1.29243021050176,5.83339028403836,453.665273827663,6.22212274003842e-20,5.79871045751033e-19
"2948","Ap3d1",-1.00502806358765,7.52315352928856,473.979962221219,6.4078120919045e-20,5.96742064267906e-19
"25987","Necap2",-1.29206371856317,6.27360455717951,464.162547648216,6.45687552906436e-20,6.00874208936549e-19
"23562","Map2",6.40482284532108,3.23308847732235,451.768595439928,6.60871771684353e-20,6.14557954714462e-19
"33573","Tmpo",-0.732259663033726,8.65739284996304,451.293642718646,6.70947928997054e-20,6.23475198171791e-19
"8608","Gja1",9.92417381321881,2.9191177772721,517.872450719379,6.8019713912285e-20,6.31611629185504e-19
"8058","Fhod3",8.02671617835455,2.82238153772062,450.814816328393,6.81272097657259e-20,6.32151392065304e-19
"28693","Plk1",-0.942453936585863,7.02661072325988,450.762090614116,6.82419238412595e-20,6.32757302525219e-19
"6487","Dhfr",0.892459056290281,7.42064710051252,450.663503769361,6.84569692966851e-20,6.3429196226053e-19
"30460","Rrm2",0.72328309869318,9.87136337966431,450.326008556336,6.91986229609622e-20,6.40319108422573e-19
"28447","Pif1",-1.34958775672789,5.60403850078992,450.322006193695,6.92074694304445e-20,6.40319108422573e-19
"6322","Ddx23",-0.969219501510417,7.34188337080663,450.189738261409,6.95005016280391e-20,6.42566009636852e-19
"28366","Phactr2",-1.17173234013483,6.0559383249258,449.966363611656,6.99983805542518e-20,6.46702209954686e-19
"4339","Casp3",0.875812821007405,7.71975677597988,449.643715437817,7.07242483592493e-20,6.52937274866754e-19
"26353","Nras",-0.841088293840071,7.56098621942754,448.882208490425,7.24694105982983e-20,6.68566860742947e-19
"7323","Epn2",1.46553248745467,5.39565884638453,448.52354634116,7.33072030778244e-20,6.75809024774328e-19
"31121","Sharpin",-1.46935984413317,5.06325291676499,448.325784577953,7.37735587330657e-20,6.79619006889861e-19
"7516","F3",8.1127542778991,2.79857832202041,448.100990154681,7.43075026829127e-20,6.84045702267934e-19
"31454","Slc35b4",0.879107521037732,7.36837993115652,447.970145650129,7.46201858095173e-20,6.86430660410107e-19
"19918","Ifi35",-1.47213901642894,5.17186789013873,447.59499911914,7.55244802440947e-20,6.94250516529528e-19
"2688","Aldh2",-1.12151300586458,6.44478157654892,447.520371531123,7.57057589187126e-20,6.95417677872392e-19
"3169","Arl5a",-1.27425553213192,6.10548615111538,446.60412890477,7.79695870379534e-20,7.15469716667688e-19
"7286","Epas1",2.16891313253079,4.34808768957241,446.591835514386,7.8000447049441e-20,7.15469716667688e-19
"25198","Mlf1",3.20298578862828,3.74551734301892,446.427784658282,7.8413510405687e-20,7.18743737111541e-19
"23632","March2",-1.58577989069802,4.89117116004175,446.327813891374,7.8666368762291e-20,7.20545673820555e-19
"34111","Ttll1",2.1144210109818,4.46326047877043,445.911910358528,7.97276843021035e-20,7.29744815931691e-19
"2548","Agap1",1.72827047640118,4.91194254979817,445.812380933991,7.99839216614919e-20,7.31567226339574e-19
"7298","Epcam",4.06719413281035,3.30955934583515,445.610669777056,8.05059191256811e-20,7.35816055963131e-19
"28135","Pcna",0.771353722243742,8.94106099748375,445.285761429707,8.13543771162112e-20,7.43040512819604e-19
"20583","Keap1",-1.24079436659036,6.1168676691863,445.066686395824,8.1931837825533e-20,7.47507643501614e-19
"34233","Ubald2",1.3538837394282,5.68205905227626,445.055957934431,8.19602289321566e-20,7.47507643501614e-19
"33721","Tor1b",-1.22525256019576,6.12633680124325,444.759557187902,8.27487635743002e-20,7.54162218910259e-19
"34349","Uggt1",-0.868962576193546,8.2702533955271,455.701280310858,8.3891094913807e-20,7.64029495285419e-19
"23514","Magi3",3.38659801953617,3.8870474946711,447.995680144182,8.40958839290704e-20,7.65350244286955e-19
"25224","Mmgt1",0.997629425191639,6.82669353258767,444.188114482013,8.42919110494105e-20,7.66589432519674e-19
"7104","Ei24",0.976953937993168,7.04240924127493,442.93214238459,8.77923634055932e-20,7.97857497096253e-19
"2232","Abtb2",2.92401146076342,3.73606804113144,442.886424507584,8.79226666807577e-20,7.98474997763903e-19
"2843","Ankrd12",-1.5845364382242,5.04547894758195,442.598341764357,8.87485023766203e-20,8.05403666146437e-19
"11921","Gm31955",-5.56869456768332,2.84371279307606,462.865721006629,8.95606239817793e-20,8.12198151619465e-19
"19377","Hccs",1.13766262945059,6.24173399220544,442.227487150794,8.9823801942917e-20,8.14008339617164e-19
"28486","Pik3r2",-1.12764020735152,6.32040027053446,442.169920372382,8.99919584198566e-20,8.14955465039791e-19
"30993","Sertad1",2.3491912948328,4.37420656919565,441.720982705977,9.1314897438703e-20,8.26351421697945e-19
"31333","Slc22a5",-1.6649519788288,4.66586452616088,441.474986769144,9.2048575981402e-20,8.32402553278145e-19
"30315","Rpl10a",-0.807779934793819,8.39997140682258,441.342747849163,9.24455690461863e-20,8.35402619362326e-19
"23505","Maged1",0.948574253572339,7.09796905348596,441.242825334184,9.27467549957622e-20,8.37533284711378e-19
"32134","Specc1",9.84848601835643,2.98251786900059,505.858069084731,9.35896099514234e-20,8.4454894674276e-19
"3903","Bok",3.36191835423891,3.58348738068039,440.524595793975,9.49426393330903e-20,8.56155279338184e-19
"32873","Tbcd",-1.32189530767919,5.70045137277571,439.952426886726,9.67315868169595e-20,8.71673447706662e-19
"23248","Lrp11",4.0548125418402,3.19981571531831,439.827339148135,9.71274496608057e-20,8.74625170820406e-19
"23153","Lman1",0.784969373063146,8.10381882872963,439.659610161647,9.76609690135921e-20,8.78811460449084e-19
"4609","Ccr1",-1.37996005310378,5.71261980007382,439.396595819939,9.85038713870764e-20,8.85773927746849e-19
"33838","Trim14",-3.45462340080837,3.53031755467502,476.697312042844,1.002434172507e-19,9.00783830101908e-19
"3101","Arhgap35",1.22628272477308,6.37755590681178,438.340981722729,1.01965661202723e-19,9.15617315358249e-19
"20536","Kctd10",-0.949963566540826,7.21940030499711,438.087063204431,1.02817551726462e-19,9.22620006907741e-19
"31524","Slc45a3",2.19474223925089,4.55148370959843,437.861076645605,1.03582108924094e-19,9.28829765247216e-19
"29672","Rad51ap1",1.13992144403542,6.18196143125357,437.736078254457,1.04007602538375e-19,9.31992547588447e-19
"31449","Slc35a4",-0.95288056234201,7.19269171654754,437.553793292898,1.04631439812488e-19,9.36926983775463e-19
"18274","Gm5424",5.74413064301847,2.744815235688,437.019627490761,1.06482588779475e-19,9.52836861859662e-19
"33342","Tmem129",1.19297425438398,6.14019709214715,436.65672130688,1.07760121408768e-19,9.63595219720165e-19
"25583","Mtpn",-0.634015930840755,10.0345806584933,436.635310171239,1.07836002976133e-19,9.63600850041442e-19
"20468","Kcnh2",6.50917877264216,2.92145959032189,436.188254877414,1.09433448335836e-19,9.7719337931686e-19
"26490","Nup35",1.27231229887881,5.8664837052301,436.076375116408,1.09837154957914e-19,9.80114821767313e-19
"29668","Rad23a",-0.879675739339926,7.41747022201033,436.019436647306,1.10043220448997e-19,9.81269803516303e-19
